ORGÃO SUPERIOR CONTRATANTE;FORMA DE CONTRATAÇÃO;GRUPO DE OBJETO DE CONTRATAÇÃO;NOME DO FORNECEDOR;CPF / CNPJ DO FORNECEDOR;UF DO FORNECEDOR;VALOR CONTRATADO;CNAE PRINCIPAL;DESCRIÇÃO DA ATIVIDADE
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;BANCO DO BRASIL SA;00.000.000/0001-91;DF;R$ 125.368.808,73;64221-00;Bancos múltiplos, com carteira comercial
MINISTERIO DA ECONOMIA;Concorrência;Serviços;AURORA DA AMAZONIA TERMINAIS E SERVICOS LTDA;04.694.548/0001-30;AM;R$ 48.649.029,00;52117-99;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda móveis
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Outros;EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA - DATAPREV;42.422.253/0001-01;DF;R$ 39.341.281,84;6204-0-00;Consultoria em tecnologia da informação
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;CAIXA ECONOMICA FEDERAL;00.360.305/0001-04;DF;R$ 30.400.000,00;64239-00;Caixas econômicas
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;BANCO DO BRASIL SA;00.000.000/0001-91;DF;R$ 30.060.000,00;64221-00;Bancos múltiplos, com carteira comercial
MINISTERIO DA ECONOMIA;Pregão;Outros;LANLINK SOLUCOES E COMERCIALIZACAO EM INFORMATICA S/A;19.877.285/0002-52;DF;R$ 25.083.136,20;62040-00;Consultoria em tecnologia da informação
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Outros;TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;00.336.701/0001-04;DF;R$ 25.049.780,33;61108-03;Serviços de comunicação multimídia - scm
MINISTERIO DA ECONOMIA;Pregão;Outros;BRASOFTWARE INFORMATICA LTDA;57.142.978/0001-05;SP;R$ 24.658.753,68;62031-00 ;Desenvolvimento e licenciamento de programas de computador não-customizáveis
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;CAIXA ECONOMICA FEDERAL;00.360.305/0001-04;DF;R$ 24.034.275,72;64239-00;Caixas econômicas
MINISTERIO DA ECONOMIA;Pregão;Serviços;WR COMERCIAL DE ALIMENTOS E SERVICOS LTDA;06.091.637/0001-17;DF;R$ 14.966.662,32;82113-00;Serviços combinados de escritório e apoio administrativo
MINISTERIO DA ECONOMIA;Pregão;Serviços;CONFEDERAL VIGILANCIA E TRANSPORTE DE VALORES LTDA;31.546.484/0001-00;DF;R$ 14.098.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Bens patrimoniais;LAYER DO BRASIL EIRELI;04.929.322/0001-70;DF;R$ 8.449.811,54;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MIRANDA TURISMO E REPRESENTACOES LTDA;24.929.614/0001-10;DF;R$ 5.687.728,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SEGPLUS - SISTEMAS DE SEGURANCA - EIRELI;11.933.418/0001-78;PR;R$ 5.553.930,60;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 4.887.950,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Bens patrimoniais;SAFETY WALL DEFESA E SEGURANCA LTDA.;10.194.062/0001-35;SP;R$ 3.922.450,02;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0020-76;PR;R$ 3.338.865,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GLOBAL SERVICOS & COMERCIO LTDA;09.439.320/0001-17;SP;R$ 2.665.321,68;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;SUAVE NEGOCIOS E EMPREENDIMENTOS LTDA;50.729.417/0001-68;SP;R$ 2.663.392,20;;
MINISTERIO DA ECONOMIA;Pregão;Outros;PRO-SYSTEMS INFORMATICA LTDA;03.620.200/0001-35;DF;R$ 2.638.560,00;;
MINISTERIO DA ECONOMIA;Pregão;Outros;DFTI - COMERCIO E SERVICOS DE INFORMATICA LTDA;09.650.283/0001-91;DF;R$ 2.597.880,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 2.567.950,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MPE ENGENHARIA E SERVICOS S/A;04.743.858/0001-05;RJ;R$ 2.499.946,92;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;AIRONSERV SERVICOS INTEGRADOS LTDA;07.809.721/0001-96;PR;R$ 2.454.672,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETTA - SERVICOS TERCEIRIZADOS LTDA;11.301.568/0001-69;PR;R$ 2.254.908,10;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 2.252.323,54;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;ALBATROZ SEGURANCA E VIGILANCIA LTDA;66.700.295/0001-17;SP;R$ 2.243.471,62;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;A. C. M. D. PRESTACAO DE SERVICOS EIRELI;04.543.719/0001-20;SP;R$ 2.064.666,60;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;BRS SUPRIMENTOS CORPORATIVOS S/A;09.216.620/0001-37;RS;R$ 1.920.709,72;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MIRANDA TURISMO E REPRESENTACOES LTDA;24.929.614/0001-10;DF;R$ 1.844.165,55;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MIRANDA TURISMO E REPRESENTACOES LTDA;24.929.614/0001-10;DF;R$ 1.781.068,34;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ESPLANADA SERVICOS TERCEIRIZADOS EIRELI;01.099.686/0001-82;DF;R$ 1.749.452,52;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Outros;NEC LATIN AMERICA S.A.;49.074.412/0001-65;SP;R$ 1.695.545,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETE BAHIA TERCEIRIZACAO EIRELI;13.515.708/0001-27;PR;R$ 1.685.079,60;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;JAVA SEGURANCA PATRIMONIAL LTDA;03.394.369/0001-14;BA;R$ 1.605.787,44;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VENCER TERCEIRIZACAO DE SERVICOS LTDA;08.800.447/0001-57;PR;R$ 1.567.876,48;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MIRANDA TURISMO E REPRESENTACOES LTDA;24.929.614/0001-10;DF;R$ 1.521.223,10;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;NEW HOUSE EMPREENDIMENTOS IMOBILIARIOS EIRELI;26.461.338/0001-34;RR;R$ 1.500.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;CIBAM ENGENHARIA EIRELI;01.211.015/0001-61;SP;R$ 1.490.900,26;;
MINISTERIO DA ECONOMIA;Pregão;Outros;SERVIX INFORMATICA LTDA;01.134.191/0002-28;DF;R$ 1.477.202,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PIRES E MACHADO SEGURANCA LTDA;10.314.494/0001-32;RS;R$ 1.403.000,00;;
